,Feature,Importance
30,SurfaceVelocity,0.08172105685109926
26,v_current,0.05923074534371144
0,Longitude,0.056843051121418436
32,PotentialDensity,0.05280094441464021
39,uv_magnitude20,0.05019245483035831
27,ice,0.044356018554786304
5,HumidityMinusTemp,0.03872318875433142
42,curl20,0.032147648624373915
22,ScalarWind,0.03151439718672922
19,VWindStress,0.02551872522301418
9,Pressure,0.024247822851889908
12,SensibleHeatTransEastward,0.02342614884839932
2,AirTempSurface,0.020602952943963828
38,curl10,0.019504561682897836
41,MeridonalSurfaceWindStress20,0.01843847709369295
20,LatentHeatTransNorthward,0.013258316642082919
25,u_current,0.009772033376130293
18,MeridonalLatentHeatParameter,0.007229430794977195
21,VWind,0.006282918297360456
29,Temperature,0.0015019631323319371
17,SensibleHeatTransNorthward,0.001117852423222557
40,ZonalSurfaceWindStress20,0.0010877303476754363
3,Cloudiness,9.518859309471329e-05
1,Latitude,-0.0009578692045793535
36,uv_magnitude10,-0.005067031616769055
11,SeaSurfaceTemp,-0.005189665442216424
37,MeridonalSurfaceWindStress10,-0.008448536162723168
24,calcite,-0.008502569004255585
23,ScalarWindCubed,-0.013521687854069627
6,Humidity,-0.015161107025264138
15,LatentHeatTransEastward,-0.016072876161012068
16,UWind,-0.0195676709465081
34,VCurrent,-0.024189272847385437
7,HeatParameter,-0.025825357921530546
10,SeaAirTempDiff,-0.02729058014519422
28,pressure,-0.027900837523177832
35,SeaIceConcentration,-0.028510070467589358
8,Humidity.1,-0.029194852037949567
4,LatentHeat,-0.030998211334352974
13,ZonalLatentHeatParameter,-0.031053156218541576
14,UWindStress,-0.0344811732663145
31,Temperature.1,-0.03812244476378518
33,UCurrent,-0.04958416763851827
