SHIP'S NAME,AKA,SHIP'S OWNER,VESSEL TYPE,YEAR BUILT,WHERE BUILT,DATE LOST,YEAR,MNTH,DAY,LOCATION LOST,LATITUDE,LONGITUDE,CAUSE OF LOSS,CONSTRUCTION,FLAG,LENGTH,BEAM,DRAFT,GROSS TONNAGE,NET TONNAGE,HOME (HAILING) PORT,DEPARTURE PORT,DESTINATION PORT,MASTER,# CREW,# PASS,LIVES LOST,SHIP VALUE,CARGO VALUE,NATURE OF CARGO,USLSS STATION NAME,MAP,LOST,PHOTO ON FILE,MISC INFORMATION
Bay of Isles,,,Comm Fishing Vessel,1976,,43957,2020,5,6,Barnegat Inlet South Jetty,39.75813,-74.09566,Stranded,Wood,US,54,20,7,47,32,"Shinnecock, NY","Shinnecock, NY","Barneat Light, NJ",,2,,0,,,,Atlantic City,Y,Y,Y,#571429; Total loss
Reel E Bugging,Promises Too,,Comm Fishing Vessel,1970,,11/5/2020,2020,11,5,Barnegat Light E 34 mi,39.75733,-73.46194,Burned,Fiberglass,US,51,16,9,,30,"Shinnecock, NY","Shinnecock, NY",,,2,0,0,,,,USCG Atlantic City,Y,Y,N,#553725; Total Loss
Beach Runner,Black Dog,John Beach,Rampage Sportfisher,1988,"Oconto, WI",7/25/2018,2018,7,25,Cape May E 9 mi,38.93324,-74.71144,Water leak,Fiberglass,US,29.3,11.2,5.1,11,9,"Wildwood, NJ","Wildwood, NJ",Fishing trip,John Beach,,6,0,,,,USCG Cape May,A,Y,N,"#937648; Rescued by ""Miss Adison II"""
Lady Gertrude,Sea Escape,Myklebust Ent,Commercial fishing vessel,1979,,42597,2016,8,15,Chicken Canyon Toms River E 54 mi,39.87333,-74.05833,Broken shaft - Flooded,Steel,US,78,22,10.3,119,81,"Toms River, NJ","Pt Pleasant Beach, NJ",Fishing,Eric Myklebust,3,0,0,,,Scallops,Sandy Hook,F,Y,Y,#613723; Total loss
Last Stand,Sweet Lady,Young Family Fisheries,Scallop boat,1981,"Chatham, MA",4/28/2016,2016,4,28,Cape May SE 6 mi,38.87176,-74.81594,"Collision w/ ""Dean Reinauer""",Fiberglass,US,42,13.7,6.1,13,9,"Cape May, NJ","Cape May, NJ",Fishing service,Andrew Young,3,,0,,,,Cape May USCG,Y,Y,Y,#635730; Sank quickly
Miss Katie,Katie P Cheramie,Marquette Transportation,Tug,1998,"Chauvin, LA",42420,2016,2,20,Brigantine Beach,,,Stranded,Steel,US,86,26,11,145,43,"Dalliano, LA",,"Great Egg Harbor, NJ",,,,0,,,,USCG Atlantic City,,N,Y,#1068250; Refloated 2/22/16
Cape Hatteras,,Tide Runner Marine,Recreational tow boat,1993,,41387,2013,4,23,Great Egg Inlet; Ocean City E 1m,39.28851,-74.53347,Foundered in storm,Auminum,US,48.8,15,5.7,27,22,"Atlantic City, NJ","Atlantic City, NJ","Somers Point, NJ",David McAuliffe,1,,1,,,None,Atlantic City & Cape May USCG,A,Y,Y,#991365; Sea Tow boat
Jessica Heather,"Rayna&Kersten, Navigator",Paige Nicole LLC,Fishing boat,1985,"Houma, LA",8/19/2013,2013,8,19,Atlantic City Beach,,,Grounded; Capt fell asleep,Steel,US,56.5,19,7.4,64,43,"Atlantic City, NJ","Atlantic City, NJ",Fishing service,,3,0,0,,,None,USCG Atlantic City,N,N,Y,#689134; Refloated same day
Mandy Ness,,Mears Family,Fishing boat,1999,,1/11/2012,2012,1,11,Barnegat Inlet E 10 mi,,,Capsized; Later sank,,US,44,16,8.5,40,32,"Barnegat Light, NJ","Barnegat Light, NJ",Fishing service,Jimmy Mears,2,0,1,,,,USCG Atlantic City,Y,Y,Y,Capt lost; Boat not found
Viking II,,"DragonGirl, Inc",Fishing Vessel,1980,,10/7/2012,2012,10,7,Cape May SE 75 mi,38.40194,-73.24333,,,,,,,,,,,,,,,,,,,,F,Y,Y,#620772; Total loss
